Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
21076,2022-05-02,29.2215,-94.905,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21077,2022-05-02,29.2215,-94.905,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21078,2022-05-02,29.2216,-94.9051,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21079,2022-05-02,29.2216,-94.905,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21080,2022-05-02,29.2167,-94.9128,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21081,2022-05-02,29.2161,-94.9137,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21082,2022-05-02,29.2165,-94.9132,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21087,2022-05-02,29.2161,-94.9141,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21096,2022-05-02,29.2216,-94.905,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21097,2022-05-02,29.2216,-94.905,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.034971938,-0.059932675,-0.16510864,-0.3243762,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21098,2022-04-30,29.2514,-94.8524,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.111092374,-0.10778919,-0.5109263,-0.57164115,0.8806828564301475,-0.47370635037968,0.1436615603083365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,18
21099,2022-05-02,29.2156,-94.9143,10.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21100,2022-05-02,29.1827,-94.9699,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21101,2022-05-02,29.1825,-94.9705,13.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21103,2022-05-02,29.1824,-94.9705,8.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21104,2022-05-02,29.2156,-94.9145,7.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21105,2022-05-02,29.1824,-94.9708,26.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21107,2022-05-02,29.1824,-94.9705,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21108,2022-05-02,29.2156,-94.9145,7.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21110,2022-05-02,29.1824,-94.9704,11.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
