Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,Node_Cluster_ID
19170,2021-02-25,45.6849,-123.94,5.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,0.09380354,0.39360407,0.4199226,2.018957,0.8211001178128892,0.5707841943569036,-0.31052627435345226,0.0,1.0,0.0,0.0,1.0,0.0,0.0,106
19209,2021-03-06,43.1038,-124.4339,188.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,-0.27469733,0.20445709,-1.254189,1.0416725,0.8992961915530253,0.4373400963303323,0.9995974463122876,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4
19386,2021-04-11,43.2371,-124.391,175.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,-0.08225063,0.15866484,-0.3798973,0.80507314,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20
19406,2021-04-12,43.0981,-124.4324,29.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,-0.2036471,0.061534446,-0.9314055,0.30321994,0.9831469737221499,-0.1828169249850199,-0.04681858942321852,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73
19563,2021-05-24,29.3338,-94.7437,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.5176959,-0.18553083,-2.3581395,-0.9733165,0.6166212130956382,-0.7872599821916922,-0.4274378371837042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,55
19564,2021-05-24,29.3338,-94.7436,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.5176959,-0.18553083,-2.3581395,-0.9733165,0.6166212130956382,-0.7872599821916922,-0.4274378371837042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,55
19565,2021-05-22,29.3098,-94.761,50.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,-0.6137942,-0.07000572,-2.7947173,-0.3764216,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,1.0,0.0,0.0,1.0,0.0,0.0,102
19572,2021-05-25,29.6549,-95.008,34.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.61834776,-0.29065967,-2.8154042,-1.5164961,0.6029878670694714,-0.7977503570459932,-0.22689472323050502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23
19574,2021-05-26,28.9385,-95.2952,20.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.7358618,-0.13271269,-3.3492742,-0.70041585,0.5891760872322963,-0.8080046647350754,-0.016118658823195794,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26
19582,2021-05-26,29.3052,-94.7681,9.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.7448442,-0.16435069,-3.3900816,-0.863883,0.5891760872322963,-0.8080046647350754,-0.016118658823195794,0.0,1.0,0.0,0.0,1.0,0.0,0.0,67
19619,2021-05-27,28.0271,-97.0446,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.5578042,-0.38564998,-2.5403528,-2.0072918,0.5751899607119775,-0.8180198708443174,0.19538435698596257,0.0,1.0,0.0,0.0,1.0,0.0,0.0,48
19621,2021-05-25,29.6527,-95.0092,26.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.61834776,-0.29065967,-2.8154042,-1.5164961,0.6029878670694714,-0.7977503570459932,-0.22689472323050502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23
19694,2021-06-23,29.6827,-85.3105,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,0.20279278,0.09189423,0.9150643,0.46008283,0.14782713347053048,-0.9890132145779883,-0.3351656127922114,0.0,1.0,0.0,0.0,1.0,0.0,0.0,132
19715,2021-06-29,29.1736,-90.0775,7.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-1.1102021,0.23604767,-5.049915,1.2048947,0.04514101777397193,-0.9989806246941579,0.8044988348957959,0.0,1.0,0.0,0.0,1.0,0.0,0.0,132
19734,2021-07-06,29.174,-90.0773,42.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,0.37427565,-0.07014749,1.6941166,-0.3771541,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,132
19735,2021-07-06,29.1795,-90.067,49.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,0.37427565,-0.07014749,1.6941166,-0.3771541,-0.07518957641475855,-0.9971692572470178,0.6574130799475115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5
20156,2021-10-27,28.6916,-96.2433,16.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.04384178,0.32233608,-0.20540461,1.6507294,-0.9011686968561569,0.4334685453485363,0.9721728639061448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,41
20157,2021-10-27,28.6987,-96.2182,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.04384178,0.32233608,-0.20540461,1.6507294,-0.9011686968561569,0.4334685453485363,0.9721728639061448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,74
20158,2021-10-27,28.7043,-96.2093,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.04384178,0.32233608,-0.20540461,1.6507294,-0.9011686968561569,0.4334685453485363,0.9721728639061448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13
20160,2021-10-27,28.7108,-95.9145,6.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.04384178,0.32233608,-0.20540461,1.6507294,-0.9011686968561569,0.4334685453485363,0.9721728639061448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28
20161,2021-10-27,29.2117,-95.2082,173.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,-0.04384178,0.32233608,-0.20540461,1.6507294,-0.9011686968561569,0.4334685453485363,0.9721728639061448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19
20317,2021-11-16,43.0992,-124.4321,16.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,0.059325416,-0.27034196,0.26328734,-1.4115186,-0.7021479494046978,0.7120310787787131,-0.6392149752041472,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73
20525,2022-01-14,43.0994,-124.4322,58.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,0.15687168,0.10417308,0.7064432,0.5235252,0.23851257519407648,0.9711394088771653,-0.6491711209100147,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73
20539,2022-01-23,43.0787,-124.4358,67.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,-0.100618675,0.06240588,-0.46334392,0.30772248,0.38541335945432564,0.9227440286201427,0.9350585163979198,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37
20545,2022-01-24,43.0622,-124.4381,37.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,0.0044257357,0.11038232,0.013876293,0.555607,0.4012289854475009,0.9159777842484877,0.9888302486148426,0.0,1.0,0.0,0.0,1.0,0.0,0.0,53
20547,2022-01-25,43.239,-124.3907,154.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,0.006635449,0.0674611,0.023915092,0.33384177,0.4169258813287287,0.908940487313808,0.9980057434335011,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20
20667,2022-03-08,27.3467,-97.3269,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,0.13167933,-0.3208401,0.5919935,-1.6724322,0.9138076496466615,0.4061472386305789,-0.9109037335683473,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27
20702,2022-03-15,21.2238,-97.4185,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21793315,0.3238845,-0.99630743,1.6587298,0.9559793438440766,0.2934339689665273,-0.4853318776492732,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
20703,2022-03-15,21.2237,-97.4185,5.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21793315,0.3238845,-0.99630743,1.6587298,0.9559793438440766,0.2934339689665273,-0.4853318776492732,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
20986,2022-04-21,27.9154,-96.9973,39.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.16152589,0.043964483,-0.7400474,0.21243946,0.9431964659565866,-0.33223549871590435,0.8831399212871116,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
20987,2022-04-22,27.9158,-96.997,31.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.033245154,0.17550159,-0.1572638,0.8920652,0.9373419384643772,-0.3484108069446808,0.9622855877445794,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
20988,2022-04-23,28.6986,-96.2179,6.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.37457845,-0.006899928,-1.7079521,-0.050366685,0.9312100364121947,-0.3644830148102912,0.9980321808261063,0.0,1.0,0.0,0.0,1.0,0.0,0.0,74
20995,2022-04-26,27.829,-97.0521,6.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21799983,0.025545433,-0.99661034,0.11727196,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,43
21001,2022-04-26,29.2667,-94.825,27.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,91
21002,2022-04-26,29.2668,-94.8251,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,91
21003,2022-04-26,29.2657,-94.8252,38.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,91
21004,2022-04-26,29.2652,-94.8274,29.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,145
21005,2022-04-26,29.2639,-94.8291,35.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,109
21006,2022-04-26,29.3327,-94.7335,6.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85
21007,2022-04-26,29.3327,-94.7335,10.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85
21008,2022-04-26,29.3327,-94.7335,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.33310306,-0.11237285,-1.5195282,-0.59532404,0.9111686353326631,-0.41203363695942635,0.838886998489607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85
21011,2022-04-27,29.283,-94.7979,7.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,127
21012,2022-04-27,29.2669,-94.825,22.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,91
21013,2022-04-27,29.2707,-94.8188,11.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,82
21014,2022-04-27,29.2781,-94.8057,24.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87
21015,2022-04-27,29.2707,-94.8188,22.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,82
21016,2022-04-27,29.2801,-94.8018,30.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,72
21017,2022-04-27,29.263,-94.8319,31.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,109
21018,2022-04-27,29.2833,-94.7973,32.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,127
21019,2022-04-27,29.5497,-94.388,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,146
21020,2022-04-27,29.5067,-94.5011,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,-0.4032163,-0.20608272,-1.8380549,-1.079504,0.9039461929224011,-0.42764620926777464,0.7050307298577643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30
