Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Sampling_Method_plankton net,Sampling_Method_shovel,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
13867,2021-07-30,38.658,15.833333,0.243213,Manta net,Atlantic Ocean,Ocean water,Medium,0.07227448,-0.012255063,0.32211536,-0.078035586,-0.46896519100763184,-0.8832166493127127,0.9481856178625016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.035401470959186554,-0.023194067180156708,118
13868,2021-09-23,38.3725,15.758167,2.019273,Manta net,Atlantic Ocean,Ocean water,High,0.15893115,-0.009223719,0.71579945,-0.062373243,-0.9906923101615609,-0.13612033862266704,0.37406063376349147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.040894802659749985,-0.0634784996509552,10
13869,2021-09-24,38.259167,15.081667,0.78763,Manta net,Atlantic Ocean,Ocean water,Medium,0.18055452,-0.1576707,0.8140352,-0.8293689,-0.9928872135356962,-0.11905873003404988,0.5614627165177212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.023194067180156708,0.007324442267417908,108
13870,2021-09-26,38.706667,15.8535,0.167273,Manta net,Atlantic Ocean,Ocean water,Medium,-0.072751254,-0.2421372,-0.3367413,-1.2657902,-0.9963950238187231,-0.08483487790576538,0.8529911758790953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03418073058128357,118
13871,2021-09-26,38.782,15.9225,7.011284,Manta net,Atlantic Ocean,Ocean water,High,-0.072751254,-0.2421372,-0.3367413,-1.2657902,-0.9963950238187231,-0.08483487790576538,0.8529911758790953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.014038514345884323,-0.032959990203380585,51
13872,2021-09-26,38.859333,15.936,0.34566,Manta net,Atlantic Ocean,Ocean water,Medium,-0.072751254,-0.2421372,-0.3367413,-1.2657902,-0.9963950238187231,-0.08483487790576538,0.8529911758790953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.014038514345884323,-0.03234962001442909,143
13873,2021-09-26,38.823667,15.918167,0.411917,Manta net,Atlantic Ocean,Ocean water,Medium,-0.072751254,-0.2421372,-0.3367413,-1.2657902,-0.9963950238187231,-0.08483487790576538,0.8529911758790953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.014038514345884323,-0.03234962001442909,181
13874,2021-09-27,38.801667,15.844667,1.439939,Manta net,Atlantic Ocean,Ocean water,High,-0.39142397,-0.14403588,-1.7844819,-0.7589205,-0.9977068927101168,-0.06768276175455162,0.9439696209780338,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0238044373691082,-0.025635547935962677,123
13877,2021-06-07,64.328167,-22.139667,0.649773,Manta net,Atlantic Ocean,Ocean water,Medium,-0.080464706,0.096367024,-0.37178376,0.48319283,0.4110537546870351,-0.9116111071930239,0.5683405391998784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014038514345884323,0.016479995101690292,18
13878,2021-06-18,60.2195,-39.290167,0.013134,Manta net,Atlantic Ocean,Ocean water,Medium,-0.15438323,-0.1854201,-0.70759803,-0.9727444,0.23224292400907015,-0.9726578145718654,-0.9863901203422147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.09033478796482086,0.010986663401126862,275
14342,2021-01-06,60.432333,1.321667,0.029562,Neuston net,Atlantic Ocean,Ocean water,Medium,3.6091205e-05,0.19220164,-0.0060660066,0.97835106,0.10303137904317879,0.9946781061893646,0.9991434504931119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.031128879636526108,0.0006103701889514923,111
14343,2021-01-08,60.086,-0.838,0.0,Neuston net,Atlantic Ocean,Ocean water,Very Low,0.25992212,-0.1417078,1.1746048,-0.74689174,0.13718540405660057,0.9905453876091833,0.8929544636818461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.08056886494159698,-0.24170659482479095,111
14344,2021-01-08,60.291167,-0.618333,0.0,Neuston net,Atlantic Ocean,Ocean water,Very Low,0.25992212,-0.1417078,1.1746048,-0.74689174,0.13718540405660057,0.9905453876091833,0.8929544636818461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.20508438348770142,-0.18616290763020515,111
14345,2021-01-08,60.491667,-0.570833,0.0,Neuston net,Atlantic Ocean,Ocean water,Very Low,0.25992212,-0.1417078,1.1746048,-0.74689174,0.13718540405660057,0.9905453876091833,0.8929544636818461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.04272591322660446,-0.1507614366710186,111
14346,2021-01-09,60.6345,-0.6095,0.056059,Neuston net,Atlantic Ocean,Ocean water,Medium,0.4433377,-0.08787149,2.0078678,-0.46873045,0.1542040475626894,0.988039023376751,0.7777621629302511,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06591998040676117,-0.09094515815377235,111
14347,2021-01-11,58.468,-5.523167,0.134205,Neuston net,Atlantic Ocean,Ocean water,Medium,0.07798612,-0.0935416,0.34806353,-0.49802676,0.18809941761179758,0.9821499931752291,0.4489235043654846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.04272591322660446,0.16113772988319397,111
14348,2021-01-11,58.441833,-5.893833,0.081281,Neuston net,Atlantic Ocean,Ocean water,Medium,0.07798612,-0.0935416,0.34806353,-0.49802676,0.18809941761179758,0.9821499931752291,0.4489235043654846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.016479995101690292,0.017090365290641785,111
14349,2021-01-11,58.042167,-5.696,0.200331,Neuston net,Atlantic Ocean,Ocean water,Medium,0.0020486503,0.0026918137,0.0030771154,-0.00080808625,0.18809941761179758,0.9821499931752291,0.4489235043654846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10193182155489922,0.11597033590078354,68
14350,2021-01-12,56.724833,-6.3945,0.054027,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.022583696991205215,-0.03723258152604103,44
14351,2021-01-12,56.5545,-6.550167,0.021947,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.04699850454926491,-0.051271095871925354,44
